Time(sec),TempRes(Ohm),SampVolt(V),heat_current(A),coil_current_order(A), sample_current_order(A)
273.63,45.57,0.0012222,0.135,0.3,0.39286
273.67,45.57,0.0014015,0.135,0.3,0.42857
273.94,45.57,0.0019404,0.135,0.3,0.46429
273.99,45.57,0.0021204,0.135,0.3,0.5
274.2,45.57,0.0024824,0.135,0.375,0
274.25,45.57,0.001081,0.135,0.375,0.035714
274.3,45.57,-1.9462e-05,0.135,0.375,0.071429
274.36,45.57,0.00015506,0.135,0.375,0.10714
274.41,45.57,0.00017121,0.135,0.375,0.14286
274.47,45.57,0.0003302,0.135,0.375,0.17857
274.52,45.57,0.00049302,0.135,0.375,0.21429
274.56,45.57,0.00050708,0.135,0.375,0.25
274.63,45.57,0.00068353,0.135,0.375,0.28571
274.89,45.57,0.0012156,0.135,0.375,0.32143
274.94,45.57,0.0013934,0.135,0.375,0.35714
274.99,45.57,0.0013934,0.135,0.375,0.39286
275.05,45.57,0.0015722,0.135,0.375,0.42857
275.09,45.57,0.0017512,0.135,0.375,0.46429
275.16,45.57,0.0017509,0.135,0.375,0.5
275.42,45.56,0.0024636,0.135,0.45,0
275.49,45.56,0.0024694,0.135,0.45,0.035714
275.53,45.56,-1.8001e-05,0.135,0.45,0.071429
275.59,45.56,8.0509e-05,0.135,0.45,0.10714
275.64,45.56,0.0001546,0.135,0.45,0.14286
275.69,45.56,0.00032826,0.135,0.45,0.17857
275.75,45.56,0.00035948,0.135,0.45,0.21429
275.8,45.56,0.00050405,0.135,0.45,0.25
275.86,45.56,0.00067962,0.135,0.45,0.28571
276.14,45.56,0.0012089,0.135,0.45,0.32143
276.19,45.56,0.0013862,0.135,0.45,0.35714
276.24,45.56,0.0014,0.135,0.45,0.39286
276.3,45.56,0.0015641,0.135,0.45,0.42857
276.34,45.56,0.001733,0.135,0.45,0.46429
276.41,45.56,0.0017419,0.135,0.45,0.5
276.61,45.54,0.0022776,0.135,0.525,0
276.66,45.54,0.002355,0.135,0.525,0.035714
276.72,45.54,0.0024567,0.135,0.525,0.071429
276.77,45.54,-1.7616e-05,0.135,0.525,0.10714
276.83,45.54,-1.9375e-05,0.135,0.525,0.14286
276.88,45.54,0.00015364,0.135,0.525,0.17857
277.14,45.54,0.00067584,0.135,0.525,0.21429
277.19,45.54,0.00085148,0.135,0.525,0.25
277.24,45.54,0.00086732,0.135,0.525,0.28571
277.3,45.54,0.0010264,0.135,0.525,0.32143
277.34,45.54,0.0011946,0.135,0.525,0.35714
277.41,45.54,0.0012024,0.135,0.525,0.39286
277.45,45.54,0.0013792,0.135,0.525,0.42857
277.72,45.54,0.0019095,0.135,0.525,0.46429
277.77,45.54,0.0020867,0.135,0.525,0.5
277.99,45.53,0.0024441,0.135,0.6,0
278.03,45.53,0.00074539,0.135,0.6,0.035714
278.08,45.53,-1.8634e-05,0.135,0.6,0.071429
278.14,45.53,0.00015214,0.135,0.6,0.10714
278.19,45.53,0.00015249,0.135,0.6,0.14286
278.25,45.53,0.00032467,0.135,0.6,0.17857
278.3,45.53,0.00049644,0.135,0.6,0.21429
278.34,45.53,0.00049874,0.135,0.6,0.25
278.41,45.53,0.00067264,0.135,0.6,0.28571
278.67,45.53,0.001197,0.135,0.6,0.32143
278.72,45.53,0.0013722,0.135,0.6,0.35714
278.78,45.53,0.0013716,0.135,0.6,0.39286
278.83,45.53,0.001548,0.135,0.6,0.42857
278.88,45.53,0.0016944,0.135,0.6,0.46429
278.92,45.53,0.0017238,0.135,0.6,0.5
279.22,45.52,0.0024309,0.135,0.675,0
279.27,45.52,0.0024313,0.135,0.675,0.035714
279.33,45.52,-1.8721e-05,0.135,0.675,0.071429
279.38,45.52,0.000113,0.135,0.675,0.10714
279.44,45.52,0.00015203,0.135,0.675,0.14286
279.49,45.52,0.0003234,0.135,0.675,0.17857
279.53,45.52,0.00038731,0.135,0.675,0.21429
279.59,45.52,0.00049631,0.135,0.675,0.25
279.64,45.52,0.00066929,0.135,0.675,0.28571
279.92,45.52,0.0011902,0.135,0.675,0.32143
279.97,45.52,0.0013645,0.135,0.675,0.35714
280.03,45.52,0.0013647,0.135,0.675,0.39286
280.08,45.52,0.0015396,0.135,0.675,0.42857
280.13,45.52,0.0017124,0.135,0.675,0.46429
280.19,45.52,0.0017146,0.135,0.675,0.5
280.39,45.51,0.0022426,0.135,0.75,0
280.44,45.51,0.0022719,0.135,0.75,0.035714
280.5,45.51,0.0024191,0.135,0.75,0.071429
280.55,45.51,-1.6183e-05,0.135,0.75,0.10714
280.61,45.51,-1.8871e-05,0.135,0.75,0.14286
280.66,45.51,0.0001511,0.135,0.75,0.17857
280.92,45.51,0.00066523,0.135,0.75,0.21429
280.97,45.51,0.0008375,0.135,0.75,0.25
281.03,45.51,0.00085343,0.135,0.75,0.28571
281.08,45.51,0.0010111,0.135,0.75,0.32143
281.14,45.51,0.0011746,0.135,0.75,0.35714
281.19,45.51,0.0011845,0.135,0.75,0.39286
281.24,45.51,0.0013583,0.135,0.75,0.42857
281.5,45.51,0.0018806,0.135,0.75,0.46429
281.55,45.51,0.0020556,0.135,0.75,0.5
281.77,45.5,0.002407,0.135,0.825,0
281.81,45.5,0.00059638,0.135,0.825,0.035714
281.88,45.5,-1.7683e-05,0.135,0.825,0.071429
281.92,45.5,0.00014988,0.135,0.825,0.10714
281.97,45.5,0.00015014,0.135,0.825,0.14286
282.03,45.5,0.00032046,0.135,0.825,0.17857
282.08,45.5,0.00048408,0.135,0.825,0.21429
282.14,45.5,0.00049135,0.135,0.825,0.25
282.19,45.5,0.00066119,0.135,0.825,0.28571
282.45,45.5,0.0011779,0.135,0.825,0.32143
282.5,45.5,0.0013496,0.135,0.825,0.35714
282.56,45.5,0.001388,0.135,0.825,0.39286
282.61,45.5,0.0015241,0.135,0.825,0.42857
282.67,45.5,0.0016908,0.135,0.825,0.46429
282.72,45.5,0.0016975,0.135,0.825,0.5
283.03,45.49,0.0023944,0.135,0.9,0
283.09,45.49,0.0019796,0.135,0.9,0.035714
283.14,45.49,-1.8425e-05,0.135,0.9,0.071429
283.19,45.49,0.00014764,0.135,0.9,0.10714
283.25,45.49,0.00014965,0.135,0.9,0.14286
283.3,45.49,0.00031744,0.135,0.9,0.17857
283.36,45.49,0.00041416,0.135,0.9,0.21429
283.41,45.49,0.00048797,0.135,0.9,0.25
283.45,45.49,0.00065768,0.135,0.9,0.28571
283.74,45.49,0.001171,0.135,0.9,0.32143
283.78,45.49,0.0013425,0.135,0.9,0.35714
283.84,45.49,0.0013428,0.135,0.9,0.39286
283.89,45.49,0.0015157,0.135,0.9,0.42857
283.95,45.49,0.0016867,0.135,0.9,0.46429
284,45.49,0.001688,0.135,0.9,0.5
284.2,45.48,0.0022084,0.135,0.975,0
284.27,45.48,0.0022855,0.135,0.975,0.035714
284.31,45.48,0.002382,0.135,0.975,0.071429
284.36,45.48,-1.1753e-05,0.135,0.975,0.10714
284.42,45.48,-1.8445e-05,0.135,0.975,0.14286
284.47,45.48,0.00014932,0.135,0.975,0.17857
