	Temp	25.000000	
Time	TEMP	REAL TEMP	CURRENT	VOLTAGE
117.521721E+0	25.000000E+0	25.000000	2.760000E-3	-3.37434890E-08
117.948746E+0	25.000000E+0	25.000000	2.770000E-3	-2.20211234E-08
118.374770E+0	25.000000E+0	25.000000	2.780000E-3	-1.72715442E-08
118.800795E+0	25.000000E+0	25.000000	2.790000E-3	-4.76890618E-08
119.226819E+0	25.000000E+0	25.000000	2.800000E-3	-6.69905431E-08
119.651844E+0	25.000000E+0	25.000000	2.810000E-3	-8.60899146E-08
120.077868E+0	25.000000E+0	25.000000	2.820000E-3	-3.73019086E-09
120.504892E+0	25.000000E+0	25.000000	2.830000E-3	-9.00654343E-10
120.930917E+0	25.000000E+0	25.000000	2.840000E-3	+5.07483748E-09
121.354941E+0	25.000000E+0	25.000000	2.850000E-3	-4.06019716E-08
121.781965E+0	25.000000E+0	25.000000	2.860000E-3	+1.95256864E-08
122.206989E+0	25.000000E+0	25.000000	2.870000E-3	+2.03341255E-08
122.634014E+0	25.000000E+0	25.000000	2.880000E-3	+1.73024788E-08
123.060038E+0	25.000000E+0	25.000000	2.890000E-3	-9.67917607E-09
123.487063E+0	25.000000E+0	25.000000	2.900000E-3	+1.47761067E-08
123.912087E+0	25.000000E+0	25.000000	2.910000E-3	-9.37601141E-09
124.338111E+0	25.000000E+0	25.000000	2.920000E-3	-8.68851100E-08
124.764136E+0	25.000000E+0	25.000000	2.930000E-3	-3.00955351E-09
125.191160E+0	25.000000E+0	25.000000	2.940000E-3	+5.01426399E-08
125.616185E+0	25.000000E+0	25.000000	2.950000E-3	+1.94219549E-08
126.041209E+0	25.000000E+0	25.000000	2.960000E-3	+1.45713204E-08
126.465233E+0	25.000000E+0	25.000000	2.970000E-3	+3.78139439E-08
126.892257E+0	25.000000E+0	25.000000	2.980000E-3	+2.50810284E-08
127.317282E+0	25.000000E+0	25.000000	2.990000E-3	+1.53797595E-08
127.744306E+0	25.000000E+0	25.000000	3.000000E-3	+6.08544577E-08
128.168331E+0	25.000000E+0	25.000000	3.010000E-3	+4.74141580E-08
128.594355E+0	25.000000E+0	25.000000	3.020000E-3	+5.66101525E-08
129.020380E+0	25.000000E+0	25.000000	3.030000E-3	+2.26557112E-08
129.445404E+0	25.000000E+0	25.000000	3.040000E-3	+3.51384063E-08
129.871428E+0	25.000000E+0	25.000000	3.050000E-3	+3.41278570E-08
130.298453E+0	25.000000E+0	25.000000	3.060000E-3	+6.88907533E-08
130.723476E+0	25.000000E+0	25.000000	3.070000E-3	+1.92727821E-08
131.152502E+0	25.000000E+0	25.000000	3.080000E-3	+5.34293488E-08
131.577526E+0	25.000000E+0	25.000000	3.090000E-3	+8.65753663E-08
132.003550E+0	25.000000E+0	25.000000	3.100000E-3	+5.64609968E-08
132.429574E+0	25.000000E+0	25.000000	3.110000E-3	+7.92994112E-08
132.856599E+0	25.000000E+0	25.000000	3.120000E-3	+5.96947546E-08
133.280623E+0	25.000000E+0	25.000000	3.130000E-3	+7.69751478E-08
133.706647E+0	25.000000E+0	25.000000	3.140000E-3	+7.86964011E-08
134.133672E+0	25.000000E+0	25.000000	3.150000E-3	+8.43554774E-08
134.558696E+0	25.000000E+0	25.000000	3.160000E-3	+1.04162244E-07
134.985721E+0	25.000000E+0	25.000000	3.170000E-3	+8.14248843E-08
135.413745E+0	25.000000E+0	25.000000	3.180000E-3	+7.78879616E-08
135.839769E+0	25.000000E+0	25.000000	3.190000E-3	+7.68774123E-08
136.266794E+0	25.000000E+0	25.000000	3.200000E-3	+9.99179372E-08
136.691818E+0	25.000000E+0	25.000000	3.210000E-3	+8.16269942E-08
