Time(sec),TempRes(Ohm),SampVolt(V),SampCurr(A),CoilCurr(A),HeatingCurr(A),SampCurr_order(A)0.453,1.0241e-06,-0.0035906,0,0.128,0
76.297,35.75,0.0024569,1.2829,1.5,0.128,1.2857
76.578,35.75,-1.2779e-06,-0.0034964,1.5,0.128,0
76.859,35.75,0.0029162,1.4973,1.5,0.128,1.5
77.141,35.75,-1.1795e-06,-0.0034664,1.5,0.128,0
77.422,35.75,0.0033744,1.7114,1.5,0.128,1.7143
77.703,35.75,-1.3255e-06,-0.0034515,1.5,0.128,0
77.984,35.75,0.0038598,1.9258,1.5,0.128,1.9286
78.266,35.75,-3.0092e-07,-0.0034507,1.5,0.128,0
78.547,35.75,0.0043399,2.1402,1.5,0.128,2.1429
78.828,35.75,-1.1871e-06,-0.0034214,1.5,0.128,0
79.109,35.75,0.0048367,2.3545,1.5,0.128,2.3571
79.391,35.75,-1.1516e-06,-0.0034434,1.5,0.128,0
79.672,35.75,0.0053501,2.5688,1.5,0.128,2.5714
79.953,35.75,-1.5895e-06,-0.0034169,1.5,0.128,0
80.234,35.75,0.0058593,2.7831,1.5,0.128,2.7857
80.516,35.75,-1.1894e-06,-0.003397,1.5,0.128,0
80.797,35.75,0.006339,2.9974,1.5,0.128,3
81.688,35.75,-1.6975e-06,-0.0036186,2,0.128,0
81.953,35.75,-2.5165e-06,-0.0035987,2,0.128,0
82.203,35.75,-2.4428e-06,-0.0036155,2,0.128,0
82.484,35.75,0.00037339,0.21091,2,0.128,0.21429
82.766,35.75,-1.4846e-06,-0.0035889,2,0.128,0
83.047,35.75,0.00080635,0.42547,2,0.128,0.42857
83.328,35.75,-1.4964e-06,-0.0035785,2,0.128,0
83.594,35.75,0.001264,0.63997,2,0.128,0.64286
83.891,35.75,-1.5809e-06,-0.0035589,2,0.128,0
84.172,35.75,0.0017148,0.85427,2,0.128,0.85714
84.453,35.75,-1.092e-06,-0.0035362,2,0.128,0
84.734,35.75,0.0021643,1.0686,2,0.128,1.0714
85.016,35.75,-8.4159e-07,-0.0035032,2,0.128,0
85.297,35.75,0.002642,1.2829,2,0.128,1.2857
85.578,35.75,-1.6268e-06,-0.0034724,2,0.128,0
85.859,35.75,0.003129,1.4973,2,0.128,1.5
86.141,35.75,-2.2548e-06,-0.0034965,2,0.128,0
86.438,35.75,0.0036135,1.7115,2,0.128,1.7143
86.734,35.75,-1.1417e-06,-0.0034751,2,0.128,0
87.016,35.75,0.0041146,1.9257,2,0.128,1.9286
87.297,35.75,-1.8524e-06,-0.0034723,2,0.128,0
87.578,35.75,0.004626,2.1401,2,0.128,2.1429
87.859,35.75,-2.2039e-06,-0.0034403,2,0.128,0
88.141,35.75,0.0051535,2.3545,2,0.128,2.3571
88.422,35.75,-1.6552e-06,-0.0034389,2,0.128,0
88.703,35.75,0.0056757,2.5687,2,0.128,2.5714
88.984,35.75,-2.3158e-06,-0.0034088,2,0.128,0
89.266,35.75,0.0062046,2.783,2,0.128,2.7857
89.547,35.75,-1.5151e-06,-0.0034051,2,0.128,0
89.828,35.75,0.0067298,2.9974,2,0.128,3
90.734,35.75,-2.6984e-06,-0.0035991,2.5,0.128,0
90.984,35.75,-2.9978e-06,-0.003608,2.5,0.128,0
91.234,35.75,-3.2292e-06,-0.0036152,2.5,0.128,0
91.516,35.75,0.00040593,0.21088,2.5,0.128,0.21429
91.797,35.75,-2.4996e-06,-0.0036231,2.5,0.128,0
92.078,35.75,0.00085662,0.42543,2.5,0.128,0.42857
92.359,35.75,-2.1108e-06,-0.0035693,2.5,0.128,0
92.641,35.75,0.0013449,0.63997,2.5,0.128,0.64286
92.922,35.75,-2.6803e-06,-0.0035755,2.5,0.128,0
93.203,35.75,0.0018217,0.85427,2.5,0.128,0.85714
93.484,35.75,-2.1966e-06,-0.0035474,2.5,0.128,0
93.766,35.75,0.0022956,1.0686,2.5,0.128,1.0714
94.031,35.75,-2.1729e-06,-0.0035314,2.5,0.128,0
94.328,35.75,0.0027894,1.2829,2.5,0.128,1.2857
94.609,35.75,-2.2539e-06,-0.0034975,2.5,0.128,0
94.891,35.75,0.003298,1.4972,2.5,0.128,1.5
95.172,35.75,-2.0485e-06,-0.0034827,2.5,0.128,0
95.453,35.75,0.0038027,1.7114,2.5,0.128,1.7143
95.734,35.75,-2.225e-06,-0.0034923,2.5,0.128,0
96.016,35.75,0.0043239,1.9258,2.5,0.128,1.9286
