Time(sec),TempRes(Ohm),SampVolt(V),SampCurr(A),CoilCurr(A),HeatingCurr(A),SampCurr_order(A)0.453,3.1399e-06,0.0037811,0,0.13,0
82.735,37.51,4.3066e-06,-3.3386,4,0.13,3.3429
83.016,37.51,6.7108e-06,0.0035516,4,0.13,0
83.297,37.51,3.6009e-06,-3.6168,4,0.13,3.6214
83.578,37.51,7.6029e-06,0.0035194,4,0.13,0
83.86,37.51,2.0065e-06,-3.8953,4,0.13,3.9
84.813,37.51,8.3636e-06,0.0037999,5,0.13,0
85.078,37.51,8.7913e-06,0.0037824,5,0.13,0
85.328,37.51,8.5019e-06,0.0038136,5,0.13,0
85.61,37.51,7.7153e-06,-0.27495,5,0.13,0.27857
85.891,37.51,7.7e-06,0.0037798,5,0.13,0
86.172,37.51,7.7253e-06,-0.55378,5,0.13,0.55714
86.453,37.51,7.26e-06,0.0037474,5,0.13,0
86.719,37.51,6.9335e-06,-0.83233,5,0.13,0.83571
87.016,37.51,7.3904e-06,0.0037178,5,0.13,0
87.297,37.51,6.1199e-06,-1.1108,5,0.13,1.1143
87.578,37.51,6.5327e-06,0.0037004,5,0.13,0
87.86,37.51,6.3902e-06,-1.3891,5,0.13,1.3929
88.141,37.51,6.6831e-06,0.0036938,5,0.13,0
88.422,37.51,6.5261e-06,-1.6675,5,0.13,1.6714
88.703,37.51,5.9761e-06,0.003642,5,0.13,0
88.985,37.51,5.8442e-06,-1.9461,5,0.13,1.95
89.266,37.51,5.5449e-06,0.0036424,5,0.13,0
89.563,37.51,5.9167e-06,-2.2246,5,0.13,2.2286
89.86,37.51,6.0249e-06,0.0036199,5,0.13,0
90.141,37.51,5.8148e-06,-2.503,5,0.13,2.5071
90.422,37.51,6.149e-06,0.0035913,5,0.13,0
90.703,37.51,5.0439e-06,-2.7815,5,0.13,2.7857
90.985,37.51,5.7657e-06,0.0035843,5,0.13,0
91.266,37.51,6.0732e-06,-3.0601,5,0.13,3.0643
91.547,37.51,6.5458e-06,0.0035768,5,0.13,0
91.828,37.51,5.6815e-06,-3.3385,5,0.13,3.3429
92.11,37.51,7.5148e-06,0.0035544,5,0.13,0
92.391,37.51,3.3861e-06,-3.6168,5,0.13,3.6214
92.672,37.51,7.9506e-06,0.0035392,5,0.13,0
92.953,37.51,3.3272e-06,-3.8953,5,0.13,3.9
